Cd_71,uso_BI,Act_71_14,coduso_BI
ZSL,INSTALACIONES,Silos y depósitos de sólidos de industria agrícola_ganadera_forestal,A
ZSN,SANIDAD,Sanatorio,Y
ZSO,OFICINAS,Sindicato provincial,O
ZVR,INDUSTRIAL,Vertederos,I
YSP,CUBIERTOS,Soportal o porche abierto 50%,9
YTZ,CUBIERTOS,Terraza cubierta 100%,9
YPO,CUBIERTOS,Porche cerrado por 3 lados 100%,9
YTD,DESCUBIERTA,Terraza descubierta 100%,9
YOU,URBANIZACION,Obras de Urbanización Interior,U
YJD,URBANIZACION,Jardín privado 100%,U
AAV,APARCAMIENTO,Aparcamiento en vivienda,V
YPS,CUBIERTOS,Soportal o porche abierto 50%,9
TZA,CUBIERTOS,Soportal o porche abierto 50%,9
YZB,BENEFICENCIA,Sin Determinar,Y
YH6,ALMACEN,Almacén,A
ZH6,ALMACEN,Almacén,A
OOF,OFICINAS,Oficina en uso industrial ERR,I
GH,TURISMO,Hotel,G
GP,TURISMO,Apt. Bloq. Lujo,G
GR,HOSTELERIA,Restaurante,G
GS,TURISMO,Hostal,G
GT,TURISMO,Colonias Lujo,G
   ,SIN DATO,Sin dato, 
