refcat,antig_bi,sin_reforma,e_ref_media,i_ref_minima,o_ref_total,r_ref_integral
0243604UG4904S,1981.0,0.0,,,,
0243605UG4904S,1981.0,0.0,,,,
0243606UG4904S,1981.0,0.0,,,,
0243607UG4904S,1981.0,0.0,,,,
0243608UG4904S,1981.0,0.0,,,,
0243609UG4904S,1981.0,0.0,,,,
0243610UG4904S,1981.0,0.0,,,,
0243611UG4904S,1981.0,0.0,,,,
0243612UG4904S,1981.0,0.0,,,,
0243613UG4904S,1981.0,0.0,,,,
0243614UG4904S,1981.0,0.0,,,,
0243615UG4904S,1981.0,0.0,,,,
0243616UG4904S,1981.0,0.0,,,,
0243617UG4904S,1981.0,0.0,,,,
0243618UG4904S,1981.0,0.0,,,,
0243619UG4904S,1981.0,0.0,,,,
0244201UG4904S,1951.0,0.0,,,,
0244202UG4904S,1949.0,0.0,,,,
0244203UG4904S,1950.0,0.0,,,,
0244204UG4904S,1950.0,0.0,,,,
0244205UG4904S,1951.0,0.0,,,,
0244206UG4904S,1950.0,0.0,,,,
0244501UG4904S,1954.0,0.0,,,2017.0,
0244502UG4904S,1955.0,0.0,,,,
0244503UG4904S,1953.0,0.0,,,,
0244504UG4904S,1953.0,0.0,,,,
0244505UG4904S,1952.0,0.0,,,,
0244506UG4904S,1955.0,0.0,,,,
0244507UG4904S,1949.0,,1979.0,,,
0244508UG4904S,1957.0,,1985.0,,,
0244509UG4904S,1951.0,0.0,,,,
0244510UG4904S,1953.0,0.0,,,,
0244511UG4904S,1950.0,0.0,,,,
0244512UG4904S,1950.0,0.0,,,,
0244513UG4904S,1953.0,,1985.0,,,
0244514UG4904S,1953.0,0.0,,,,
0244515UG4904S,1952.0,0.0,,,,
0244516UG4904S,1955.0,0.0,,,,
0244517UG4904S,1951.0,0.0,,,,
0245401UG4904N,1951.0,0.0,,,,
0245403UG4904N,1956.0,0.0,,,,
0245404UG4904N,1955.0,0.0,,,,
0245405UG4904N,1951.0,0.0,,,,
0245406UG4904N,1954.0,0.0,,,,
0245407UG4904N,1950.0,,1998.0,,,
0245408UG4904N,1953.0,0.0,,,,
0245409UG4904N,1952.0,,1990.0,,,
0245410UG4904N,1953.0,0.0,,,,
0245411UG4904N,1998.0,0.0,,,,
0245412UG4904N,1952.0,0.0,,,,
0245601UG4904N,1949.0,0.0,1999.0,,,
0245602UG4904N,1950.0,0.0,,,,
0245603UG4904N,1950.0,0.0,,,,
0245604UG4904N,1955.0,0.0,,,,
0245605UG4904N,1950.0,0.0,,,,
0245606UG4904N,1952.0,0.0,,,,
0245607UG4904N,1954.0,0.0,,,,
0245608UG4904N,1952.0,0.0,,,,
0245609UG4904N,1953.0,0.0,,,,
0245610UG4904N,1953.0,0.0,,,,
0245611UG4904N,1950.0,,1990.0,,,
0245612UG4904N,1952.0,0.0,,,,
0245613UG4904N,1954.0,0.0,,,,
0245701UG4904N,1955.0,,2004.0,,,
0245702UG4904N,1950.0,0.0,1995.0,,,
0245703UG4904N,1952.0,0.0,,,,
0245704UG4904N,1953.0,,1980.0,,,
0245705UG4904N,1953.0,0.0,,,,
0245706UG4904N,1959.0,0.0,1988.0,,,
0245707UG4904N,1955.0,0.0,,,,
0245708UG4904N,1952.0,0.0,2000.0,,,
0245709UG4904N,1953.0,,2002.0,,,
0245710UG4904N,1955.0,0.0,,,,
0245711UG4904N,2003.0,0.0,,,,
0245712UG4904N,1949.0,0.0,,,,
0245713UG4904N,1955.0,,1999.0,,,
0245714UG4904N,1953.0,0.0,,,,
0246201UG4904N,2007.0,0.0,,,,
0246202UG4904N,1953.0,0.0,1990.0,,,
0246203UG4904N,1950.0,0.0,1998.0,,,
0246204UG4904N,1953.0,0.0,2000.0,,,
0246205UG4904N,1952.0,0.0,,,,
0246206UG4904N,1992.0,0.0,,,,
0246207UG4904N,2007.0,0.0,,,,
0246208UG4904N,2007.0,0.0,,,,
0246209UG4904N,2007.0,0.0,,,,
0246210UG4904N,2007.0,0.0,,,,
0246242UG4904N,1955.0,0.0,,,,
0246801UG4904N,1930.0,0.0,1994.0,,,
0246802UG4904N,1930.0,,1999.0,,,
0246803UG4904N,1930.0,,1999.0,,,
0246804UG4904N,1930.0,0.0,1998.0,,,
0246805UG4904N,1930.0,0.0,1995.0,,,
0246806UG4904N,1930.0,0.0,1999.0,,,
0246807UG4904N,1930.0,0.0,1999.0,,,
0246808UG4904N,1930.0,0.0,1998.0,,,
0246809UG4904N,1930.0,0.0,1995.0,,,
0246810UG4904N,1930.0,0.0,1998.0,,,
0246811UG4904N,1930.0,0.0,2002.0,,,
0246812UG4904N,1930.0,0.0,,,1989.0,
0247601UG4904N,1994.0,0.0,2018.0,,2011.0,
0247602UG4904N,1995.2018927444794,0.0,,,,
0309801UG3900N,2000.0,0.0,,,,
0309802UG3901S,2002.0,0.0,,,,
0309803UG3901S,1996.0,0.0,,,,
0309804UG3901S,1994.0,0.0,,,,
0309805UG3901S,1998.0,0.0,,,,
0309806UG3901S,2015.0,0.0,,,,
0309807UG3901S,2004.0,0.0,,,,
0309808UG3901S,1985.0,0.0,,,,
0309809UG3901S,1997.0,0.0,,,,
0309810UG3901S,1997.0,0.0,,,,
0309811UG3901S,1995.0,0.0,,,,
0309813UG3901S,1995.0,0.0,,,,
0309814UG3901S,1994.0,0.0,,,,
0309815UG3901S,2005.0,0.0,,,,
0309816UG3901S,2007.0,0.0,,,,
0309817UG3901S,1985.0,0.0,,,,
0309819UG3901S,1996.0,0.0,,,,
0309820UG3901S,1997.0,0.0,,,,
0309821UG3901S,1997.0,0.0,,,,
0309823UG3901S,1997.0,0.0,,,,
0309824UG3901S,2000.0,0.0,,,,
0309825UG3901S,2003.0,0.0,,,,
0309827UG3901S,1999.6666666666667,0.0,,,,
0309828UG3901S,2001.0,0.0,,,,
0309830UG3901S,1995.0,0.0,,,,
0313201UG3901S,2004.0,0.0,,,,
0313204UG3901S,2009.5,0.0,,,,
0313205UG3901S,2000.0,0.0,,,,
0313206UG3901S,1996.0,0.0,,,,
0313278UG3901S,2003.0,0.0,,,,
0337901UG5803N,1980.0,0.0,,,,
0337902UG5803N,1979.0,0.0,,,,
0337903UG5803N,1978.0,0.0,,,,
0337904UG5803N,1979.0,0.0,,,,
0337905UG5803N,1979.0,0.0,,,,
0337906UG5803N,1992.0,0.0,,,,
0337907UG5803N,2003.0,0.0,,,,
0337908UG5803N,1978.0,0.0,,,,
0337909UG5803N,1986.0,0.0,,,,
0337910UG5803N,1983.0,,1998.0,,,
0337911UG5803N,1979.0,0.0,,,,
0337912UG5803N,1979.0,0.0,,,,
0337913UG5803N,1980.0,0.0,,,,
0337914UG5803N,1981.0,0.0,,,,
0337915UG5803N,1985.0,0.0,,,,
0337916UG5803N,1981.0,0.0,,,,
0337917UG5803N,1979.0,0.0,,,,
0337918UG5803N,1983.0,0.0,,,,
0337919UG5803N,1981.0,0.0,,,,
0337921UG5803N,1983.0,0.0,,,,
0337922UG5803N,1996.0,0.0,,,,
0342401UG4904S,1985.0,0.0,,,,
0342402UG4904S,1985.0,0.0,,,,
0342403UG4904S,1988.0,0.0,,,,
0342404UG4904S,1989.4285714285713,0.0,,,,
0342406UG4904S,1988.0,0.0,,,,
0342407UG4904S,1985.0,0.0,,,,
0342408UG4904S,1985.0,0.0,,,,
0342409UG4904S,1985.0,,,2022.0,,
0342410UG4904S,1988.0,0.0,,,,
0344301UG4904S,1954.0,0.0,,,,
0344302UG4904S,1953.0,0.0,,,,
