refcat_parcel,refcat_inmueble,nombre_via,num_1,num_2,km,dir_bi,cp_aprox,m2_bi
3946221UG4934N,3946221UG4934N0001TQ,CL SAN FERNANDO,7  ,0  ,0,Blq:   Esc: T  Pl: OD  Pt: OD,14003,275
4046851UG4944N,4046851UG4944N0001RT,CL RODRIGUEZ MARIN,26  ,0  ,0,Blq:   Esc: T  Pl: OD  Pt: OD,14002,220
3247602UG4934N,3247602UG4934N0001AQ,CL JOSE ZORRILLA,11  ,0  ,0,Blq:   Esc: T  Pl: OD  Pt: OD,14008,464
3841407UG4934S,3841407UG4934S0001HO,CL CORREGIDOR LUIS CERDA,30  ,0  ,0,Blq:   Esc: T  Pl: OD  Pt: OD,14003,215
3841501UG4934S,3841501UG4934S0001SO,CL HORNO DE PORRAS,1  ,0  ,0,Blq:   Esc: T  Pl: OD  Pt: OD,14003,393
3742804UG4934S,3742804UG4934S0001KO,CL REY HEREDIA,26  ,0  ,0,Blq:   Esc: T  Pl: OD  Pt: OD,14003,528
3832501UG4933S,3832501UG4933S0001TG,CR CASTRO,1  ,0  ,0,Blq:   Esc: T  Pl: OD  Pt: OD,14009,190
2510602UG4921S,2510602UG4921S0001KM,CL INGENIERO JUAN CIERVA,28  A,0  ,0,Blq:   Esc: T  Pl: OD  Pt: OD,14013,2848
1744502UG4914S,1744502UG4914S0001KQ,CL MARIANO DE CAVIA,11  ,0  ,0,Blq:   Esc: T  Pl: OD  Pt: OD,14005,245
0490311UG3809S,0490311UG3809S0001ML,CL FELEX RODRIGUEZ FUENTE,8  B,0  ,0,Blq:   Esc: T  Pl: OD  Pt: OD,14711,99
2472402UG4927S,2472402UG4927S0001IP,AV BRILLANTE,125  ,0  ,0,Blq:   Esc: T  Pl: OD  Pt: OD,14012,268
0977302UG4907N,0977302UG4907N0001OJ,CR ERMITAS,7  ,0  ,0,Blq:   Esc: T  Pl: OD  Pt: OD,14012,1271
3238305UG4933N,3238305UG4933N0001LU,CL SAN BASILIO,16  ,0  ,0,Blq:   Esc: T  Pl: OD  Pt: OD,14004,347
3252416UG4935S,3252416UG4935S0001BE,AV AMERICA,17  ,0  ,0,Blq:   Esc: T  Pl: OD  Pt: OD,14005,780
2447203UG4924N,2447203UG4924N0018SA,AV MEDINA AZAHARA,43  ,0  ,0,Blq:   Esc: E  Pl: EN  Pt: EN,14005,35
2447203UG4924N,2447203UG4924N0019DS,AV MEDINA AZAHARA,43  ,0  ,0,Blq:   Esc: E  Pl: EN  Pt: EN,14005,38
2447203UG4924N,2447203UG4924N0020AP,AV MEDINA AZAHARA,43  ,0  ,0,Blq:   Esc: E  Pl: EN  Pt: EN,14005,32
2447203UG4924N,2447203UG4924N0021SA,AV MEDINA AZAHARA,43  ,0  ,0,Blq:   Esc: E  Pl: EN  Pt: EN,14005,35
2447203UG4924N,2447203UG4924N0022DS,AV MEDINA AZAHARA,43  ,0  ,0,Blq:   Esc: E  Pl: EN  Pt: EN,14005,35
