ref_catastral,codigo_uso,pc_31,valor_control,sup_bi
0529205UG4902N,M,,0,4079
4295503UG5949N,M,,0,4077
0759702UG4905N,M,,0,4069
0759705UG4905N,M,,0,4069
14900A10700110,M,,0,4054
7119806UG3971N,M,,0,4046
0757904UG4905N,M,,0,4040
2049101UG4914N,M,,0,4036
3495088UG3939N,M,,0,4036
1105301UG3910N,M,,0,4032
1105401UG3910N,M,,0,4032
1205701UG3910N,M,,0,4032
1206901UG3910N,M,,0,4032
1306101UG3910N,M,,0,4032
1306601UG3910N,M,,0,4032
1406101UG3910N,M,,0,4032
8776603UG4987N,M,,0,4022
4882113UG4948S,M,,0,4021
3971801UG4937S,M,,0,4019
2586865UG4928N,M,,0,4004
6194104UG4969S,M,,0,4004
001000100UH40C,M,,0,4000
14900A10200097,M,,0,4000
1806507UG3910N,M,,0,4000
3121009UH5032S,M,,0,4000
3365501UG4936N,M,,0,4000
3995034UG3939N,M,,0,4000
5169005UG3956N,M,,0,4000
5647703UG4954N,M,,0,4000
1445203UG4914N,M,,0,3990
14900A01600122,M,,0,3990
5397108UG4959N,M,,0,3990
5495112UG4959N,M,,0,3987
7932220UG3973S,M,,0,3987
1806508UG3910N,M,,0,3981
9851241UG4995S,M,,0,3980
14900A10900074,M,,0,3975
3516205UG4931N,M,,0,3970
9809517UG2990N,M,,0,3961
14900A10900078,M,,0,3945
6200501UH4060S,M,,0,3943
5397111UG4959N,M,,0,3900
7560503UG4976S,M,,0,3888
9918180UG3991N,M,,0,3875
0567602UG4806N,M,,0,3871
14900A06800076,M,,0,3854
5274412UH4057S,M,,0,3854
5196103UG4959N,M,,0,3850
0141204UG4904S,M,,0,3827
5249514UG4954N,M,,0,3826
5694166UG4959S,M,,0,3807
0458112UG4805N,M,,0,3805
0411713UG3901S,M,,0,3764
1138504UG4913N,M,,0,3762
4869006UH4046N,M,,0,3760
0751902UG4905S,M,,0,3755
4376012UH4047N,M,,0,3748
9955802UG3995N,M,,0,3745
8072401UG4987S,M,,0,3721
9809525UG2990N,M,,0,3721
14900A10200102,M,,0,3708
6211908UG3961S,M,,0,3685
2082716UG4928S,M,,0,3677
2082717UG4928S,M,,0,3677
2501801UH3020S,M,,0,3653
4673036UH4047S,M,,0,3638
1261501UG4916S,M,,0,3636
2720602UG4922S,M,,0,3632
9873069UG3997S,M,,0,3631
4673029UH4047S,M,,0,3630
7315503UH3071N,M,,0,3630
1187622UG4918N,M,,0,3613
3482722UG4938S,M,,0,3600
14900A10800197,M,,0,3590
8602403UH3080S,M,,0,3584
0567613UG4806N,M,,0,3580
4673009UH4047S,M,,0,3556
2973512UG4927S,M,,0,3555
1065117UG4816N,M,,0,3547
14900A10900027,M,,0,3544
4170901UG4947S,M,,0,3544
0049203UG4904N,M,,0,3535
0049202UG4904N,M,,0,3530
6200504UH4060S,M,,0,3517
0611107UG3901S,M,,0,3515
3398202UG3939N,M,,0,3513
4231234UG3943S,M,,0,3507
2014822UG4921S,M,,0,3498
8606209UH3080N,M,,0,3491
8537402UG3983N,M,,0,3484
2720608UG4922S,M,,0,3475
14900A10200125,M,,0,3471
14900A10900338,M,,0,3463
0122913UG4902S,M,,0,3450
